"","line_num","Author","Title","Previously analyzed","Has been analyzed","Notes","...6"
"1",3,"Martin, Daniel L.; Targett, Timothy E.","Latitudinal Growth Variation in Young Tautogs: A Field, Laboratory, and Growing Degree-Day Assessment of Potential Intrinsic Differences in Growth Responses to Temperature",NA,NA,NA,NA
"2",4,"Rodin-Morch, Patrik; Luquet, Emilien; Meyer-Lucht, Yvonne; Richter-Boix, Alex; Hoglund, Jacob; Laurila, Anssi","Latitudinal divergence in a widespread amphibian: Contrasting patterns of neutral and adaptive genomic variation",NA,NA,NA,NA
"3",5,"Rohner, Patrick T.; Roy, Jeannine; Schafer, Martin A.; Blanckenhorn, Wolf U.; Berger, David","Does thermal plasticity align with local adaptation? An interspecific comparison of wing morphology in sepsid flies",NA,NA,NA,NA
"4",6,"Luquet, Emilien; Morch, Patrik Rodin; Cortazar-Chinarro, Maria; Meyer-Lucht, Yvonne; Hoglund, Jacob; Laurila, Anssi","Post-glacial colonization routes coincide with a life-history breakpoint along a latitudinal gradient",NA,NA,NA,NA
"5",7,"Aichelman, Hannah E.; Zimmerman, Richard C.; Barshis, Daniel J.","Adaptive signatures in thermal performance of the temperate coral Astrangia poculata",NA,NA,NA,NA
"6",8,"King, Jessica G.; Hadfield, Jarrod D.","The evolution of phenotypic plasticity when environments fluctuate in time and space",NA,NA,NA,NA
"7",9,"Velotta, Jonathan P.; Cheviron, Zachary A.","Remodeling Ancestral Phenotypic Plasticity in Local Adaptation: A New Framework to Explore the Role of Genetic Compensation in the Evolution of Homeostasis",NA,NA,NA,NA
"8",10,"Li, Teng; Han, Xin-Kang; Chen, Wei; Zhou, Hua-Bin; Zhang, Yong-Pu","Phenotypic Consequences of Embryonic Responses to Developmental Temperatures in Two Latitudinally Separated Populations of Asian Yellow Pond Turtles",NA,NA,NA,NA
"9",12,"Chung, Dillon J.; Healy, Timothy M.; McKenzie, Jessica L.; Chicco, Adam J.; Sparagna, Genevieve C.; Schulte, Patricia M.","Mitochondria, Temperature, and the Pace of Life",NA,NA,NA,NA
"10",14,"Owen, Dustin A. S.; Robbins, Travis R.; Langkilde, Tracy","Trans-generational but not early life exposure to stressors influences offspring morphology and survival",NA,NA,NA,NA
"11",15,"Li, Teng; Cao, Peng; Bei, Yong-Jian; Du, Wei-Guo","Latitudinal and Temperature-Dependent Variation in Embryonic Development Rate and Offspring Performance in a Freshwater Turtle",NA,NA,NA,NA
"12",17,"Schmid, M.; Guillaume, F.","The role of phenotypic plasticity on population differentiation",NA,NA,NA,NA
"13",19,"Kelley, Jennifer L.; Grierson, Pauline F.; Davies, Peter M.; Collin, Shaun P.","Water flows shape lateral line morphology in an arid zone freshwater fish",NA,NA,NA,NA
"14",20,"Walczynska, Aleksandra; Franch-Gras, Lluis; Serra, Manuel","Empirical evidence for fast temperature-dependent body size evolution in rotifers",NA,NA,NA,NA
"15",21,"Gibbons, Taylor C.; Metzger, David C. H.; Healy, Timothy M.; Schulte, Patricia M.","Gene expression plasticity in response to salinity acclimation in threespine stickleback ecotypes from different salinity habitats",NA,NA,NA,NA
"16",22,"Schneider, Adam","Flowering time evolution is independent of serpentine tolerance in the California flora",NA,NA,NA,NA
"17",23,"Van Petegem, Katrien H. P.; Boeye, Jeroen; Stoks, Robby; Bonte, Dries","Spatial Selection and Local Adaptation Jointly Shape Life-History Evolution during Range Expansion",NA,NA,NA,NA
"18",25,"Huang, Yuheng; Agrawal, Aneil F.","Experimental Evolution of Gene Expression and Plasticity in Alternative Selective Regimes",NA,NA,NA,NA
"19",26,"Davenport, J. M.; Hossack, B. R.","Reevaluating geographic variation in life-history traits of a widespread Nearctic amphibian",NA,NA,NA,NA
"20",27,"Yang, Li-Na; Zhu, Wen; Wu, E-Jiao; Yang, Ce; Thrall, Peter H.; Burdon, Jeremy J.; Jin, Li-Ping; Shang, Li-Ping; Zhan, Jiasui","Trade-offs and evolution of thermal adaptation in the Irish potato famine pathogen Phytophthora infestans",NA,NA,NA,NA
"21",28,"Ab Ghani, Nurul I.; Herczeg, Gabor; Merila, Juha","Effects of perceived predation risk and social environment on the development of three-spined stickleback (Gasterosteus aculeatus) morphology",NA,NA,NA,NA
