"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","alt_trait","mean_ES","var_ES","samp.size_ES","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"1","Aichelman et al. 2019","Adaptive signatures in thermal performance of the temperate coral Astrangia poculata","respiration","counter","metabolic_rate",0.479962765649576,0.0290579466204363,8,"Adaptive signatures in thermal performance of the temperate coral Astrangia poculata",2019,"Anthozoa","Astrangia poculata","latitude",1,"physiological","counter","graph",2,1,"CG",545,NA,"","",""
"2","Albecker and McCoy 2019","Local adaptation for enhanced salt tolerance reduces non-adaptive plasticity caused by osmotic stress","developmental rate","Counter","developmental_rate",-0.661375778327826,0.0281266263479799,25,"Local adaptation for enhanced salt tolerance reduces non-adaptive plasticity caused by osmotic stress",2019,"Amphibia","Hyla cinerea","salinity",2,"physiological","counter ","graph",2,2,"CG",NA,NA,"","",""
"3","Armbruster and Conn 2006","Geographic Variation of Larval Growth in North American Aedes albopictus","growth rate","Counter","growth_rate",0.350467238217457,0.00165414223137635,285,"Geographic Variation of Larval Growth in North American Aedes albopictus",2006,"Insecta","Aedes albopictus","latitude",3,"physiological","counter","graph",3,3,"CG",1445,NA,"","",""
"4","Armbruster and Conn 2006","Geographic Variation of Larval Growth in North American Aedes albopictus","developmental rate","Counter","developmental_rate",-0.155224267480127,0.00162318736652222,285,"Geographic Variation of Larval Growth in North American Aedes albopictus",2006,"Insecta","Aedes albopictus","latitude",3,"physiological","counter","graph",3,3,"CG",1445,NA,"","",""
"5","Armbruster and Conn 2006","Geographic Variation of Larval Growth in North American Aedes albopictus","mass","Counter","body_size",0.919526596923683,0.00380609821429611,255,"Geographic Variation of Larval Growth in North American Aedes albopictus",2006,"Insecta","Aedes albopictus","latitude",3,"physiological","counter","graph",3,3,"CG",1445,NA,"","",""
"6","Arnett and Gotelli 1999","GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE","growth rate","Counter","growth_rate",0.788853148073225,0.0319252641334276,34,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",1999,"Insecta","Myrmeleon immaculatus","latitude",3,"physiological","counter","graph",2,2,"CG",783,NA,"used only high food temperatures, made measurements for latitude equidistant between sampling populations","",""
"7","Arnett and Gotelli 1999","GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE","developmental rate","Counter","developmental_rate",-3.04008870557223,0.0635196641420557,34,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",1999,"Insecta","Myrmeleon immaculatus","latitude",3,"physiological","counter","graph",2,2,"CG",783,NA,"used only high food temperatures, made measurements for latitude equidistant between sampling populations","",""
"8","Arnett and Gotelli 1999","GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE","mass","Counter","body_size",3.45739368784301,0.0736376368931029,34,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",1999,"Insecta","Myrmeleon immaculatus","latitude",3,"physiological","counter","graph",2,2,"CG",783,NA,"used only high food temperatures, made measurements for latitude equidistant between sampling populations","",""
"9","Billerbeck et al. 2000","Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside","metabolic rate","Counter","metabolic_rate",0.358207141235225,0.0118392126530274,39,"Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside",2000,"Actinopterygii","Menidia menidia","latitude",1,"physiological","counter","graph",2,2,"CG",NA,NA,"","",""
"10","Billerbeck et al. 2000","Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside","metabolic rate","Counter","metabolic_rate",0.358207141235225,0.0118392126530274,39,"Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside",2000,"Actinopterygii","Menidia menidia","latitude",4,"physiological","counter","graph",2,2,"CG",NA,NA,"only measured one trait because couldn't parse sample size on other 3","",""
"11","Blanckenhorn 1991; RT","Life-history difference in adjacent water strider populations: phenotypic plasticity or heritable responses to stream temperature?","developmental rate","Counter","developmental_rate",-1.99286289370395,0.0501560307955992,9,"Life-history difference in adjacent water strider populations: phenotypic plasticity or heritable responses to stream temperature?",1991,"Insecta","Aquarius remigis","temperature",1,"physiological","counter","table",2,2,"RT",NA,NA,"","",""
"12","Boman et al. 2008","Quantitative genetic approach for assessing invasiveness: geographic and genetic variation in life-history traits","developmental rate","Counter","developmental_rate",-0.483407995853942,0.0141999954270706,76,"Quantitative genetic approach for assessing invasiveness: geographic and genetic variation in life-history traits",2008,"Insecta","Leptinotarsa decemlineata","latitude",1,"physiological","counter","table",4,2,"CG",2082,NA,"","",""
"13","Brown et al. 1998","Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes","growth rate length","Counter","growth_rate",1.63557837022837,0.418174825017271,4,"Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes",1998,"Actinopterygii","Morone saxatilis","latitude",2,"physiological","counter","graph",4,2,"CG",NA,NA,"","",""
"14","Brown et al. 1998","Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes","growth rate weight","Counter","growth_rate",-0.489031600557377,0.390413093938845,4,"Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes",1998,"Actinopterygii","Morone saxatilis","latitude",2,"physiological","counter","graph",4,2,"CG",NA,NA,"","",""
"15","Chapin and Oechel 1983","Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients","phosphate uptake","Counter","metabolic_rate",2.77673223173172,0.200444723749576,4,"Photosynthesis, respiration, and phosphate absorption by Carex aquatilis ecotypes along latitudinal and local environmental gradients",1983,"Liliopsida ","Carex aquatilis","soil phosphate level",1,"physiological","counter","graph",4,6,"RT",NA,NA,"","",""
"16","Conover and Present 1990","Countergradient variation in growth rate: compensation for length of the growing season among Atlantic silversides from different latitudes","growth rate","Counter","growth_rate",12.6992448001176,0.0947296823477168,90,"Countergradient variation in growth rate: compensation for length of the growing season among Atlantic silversides from different latitudes",1997,"Actinopterygii","Menidia menidia","latitude",1,"physiological","Counter","graph",3,4,"CG",NA,NA,"","",""
"17","DiMichele and Westerman 1997","Geographic variation in development rate between populations of the teleost Fundulus heteroclitus","developmental rate","Counter","developmental_rate",-2.7165576836348,0.0390220127632586,50,"Geographic variation in development rate between populations of the teleost Fundulus heteroclitus",1997,"Actinopterygii","Fundulus heteroclitus","latitude",1,"physiological","counter","table",2,2,"CG",1318,NA,"","",""
"18","Dittman 1997","Latitudinal compensation in oyster ciliary activity","ciliary activity","Counter","ciliary_activity",0.261548668736112,0.025748658550829,20,"Latitudinal compensation in oyster ciliary activity",1997,"Bivalvia","Crassostrea virginica","latitude",1,"physiological","counter","graph",2,4,"CG",218,NA,"","",""
"19","Du et al. 2010","The physiological basis of geographic variation in rates of embryonic development within a widespread lizard species","development time","Counter","developmental_rate",-4.34583624362676,0.272344375303262,15,"Physiological basis of geographic variation in rates of embryonic development within a widespread lizard species",2010,"Reptilia","Sceloporus undulatus","latitude",1,"development","Counter","Graph",3,2,"CG",1282,NA,"","",""
"20","Finstad and Forseth 2006","Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.","digestion rate","Counter","metabolic_rate",1.67678120248374,0.0700048149713647,20,"Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.",2006,"Actinopterygii","Salmo salar","latitude",2,"physiological","counter","graph",6,2,"CG",1229,NA,"","",""
