"","Astrangia poculata","Dryophytes cinereus","Aedes albopictus","Myrmeleon immaculatus","Menidia menidia","Aquarius remigis","Leptinotarsa decemlineata","Morone saxatilis","Carex aquatilis","Fundulus heteroclitus","Crassostrea virginica","Sceloporus undulatus","Salmo salar","Ambrosia artemisiifolia","Poecilia reticulata","Hippoglossus hippoglossus","Scophthalmus maximus","Hemideina maori","Oncorhynchus tshawytscha","Cabera exanthemata","Pomacentrus coelestis","Rana temporaria","Pelodiscus sinensis","Mauremys mutica","Rana arvalis","Idotea baltica","Gadus morhua","Lasiommata petropolitana","Littorina saxatilis","Melanoplus femurrubrum","Eilema depressum","Drosophila melanogaster","Lepomis gibbosus","Minuca pugnax","Paropsis atomaria","Ischnura elegans","Coenagrion puella","Coenagrion johanssoni","Lepisosteus oculatus","Littorina obtusata","Minuca rapax","Leptuca pugilator","Menidia peninsulae","Oryzias latipes"
"Astrangia poculata",1,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375,0.151088594971375
"Dryophytes cinereus",0.151088594971375,1,0.251814324952291,0.251814324952291,0.481325095408808,0.251814324952291,0.251814324952291,0.481325095408808,0,0.481325095408808,0.251814324952291,0.519097244151651,0.481325095408808,0,0.481325095408808,0.481325095408808,0.481325095408808,0.251814324952291,0.481325095408808,0.251814324952291,0.481325095408808,0.879489814321309,0.519097244151651,0.519097244151651,0.879489814321309,0.251814324952291,0.481325095408808,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.481325095408808,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.481325095408808,0.251814324952291,0.251814324952291,0.251814324952291,0.481325095408808,0.481325095408808
"Aedes albopictus",0.151088594971375,0.251814324952291,1,0.712885263834633,0.251814324952291,0.675113115091789,0.712885263834633,0.251814324952291,0,0.251814324952291,0.327358622437978,0.251814324952291,0.251814324952291,0,0.251814324952291,0.251814324952291,0.251814324952291,0.675113115091789,0.251814324952291,0.712885263834633,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.438156925416986,0.251814324952291,0.712885263834633,0.327358622437978,0.675113115091789,0.712885263834633,0.735699211223473,0.251814324952291,0.438156925416986,0.712885263834633,0.610360860104057,0.610360860104057,0.610360860104057,0.251814324952291,0.327358622437978,0.438156925416986,0.438156925416986,0.251814324952291,0.251814324952291
"Myrmeleon immaculatus",0.151088594971375,0.251814324952291,0.712885263834633,1,0.251814324952291,0.675113115091789,0.712885263834633,0.251814324952291,0,0.251814324952291,0.327358622437978,0.251814324952291,0.251814324952291,0,0.251814324952291,0.251814324952291,0.251814324952291,0.675113115091789,0.251814324952291,0.712885263834633,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.438156925416986,0.251814324952291,0.712885263834633,0.327358622437978,0.675113115091789,0.712885263834633,0.712885263834633,0.251814324952291,0.438156925416986,0.712885263834633,0.610360860104057,0.610360860104057,0.610360860104057,0.251814324952291,0.327358622437978,0.438156925416986,0.438156925416986,0.251814324952291,0.251814324952291
"Menidia menidia",0.151088594971375,0.481325095408808,0.251814324952291,0.251814324952291,1,0.251814324952291,0.251814324952291,0.798567540636581,0,0.83583606072952,0.251814324952291,0.481325095408808,0.712885263834633,0,0.83583606072952,0.798567540636581,0.798567540636581,0.251814324952291,0.712885263834633,0.251814324952291,0.823748973131811,0.481325095408808,0.481325095408808,0.481325095408808,0.481325095408808,0.251814324952291,0.784832213821002,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.798567540636581,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.610360860104057,0.251814324952291,0.251814324952291,0.251814324952291,0.965022830551024,0.83583606072952
"Aquarius remigis",0.151088594971375,0.251814324952291,0.675113115091789,0.675113115091789,0.251814324952291,1,0.675113115091789,0.251814324952291,0,0.251814324952291,0.327358622437978,0.251814324952291,0.251814324952291,0,0.251814324952291,0.251814324952291,0.251814324952291,0.675113115091789,0.251814324952291,0.675113115091789,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.438156925416986,0.251814324952291,0.675113115091789,0.327358622437978,0.675113115091789,0.675113115091789,0.675113115091789,0.251814324952291,0.438156925416986,0.675113115091789,0.610360860104057,0.610360860104057,0.610360860104057,0.251814324952291,0.327358622437978,0.438156925416986,0.438156925416986,0.251814324952291,0.251814324952291
"Leptinotarsa decemlineata",0.151088594971375,0.251814324952291,0.712885263834633,0.712885263834633,0.251814324952291,0.675113115091789,1,0.251814324952291,0,0.251814324952291,0.327358622437978,0.251814324952291,0.251814324952291,0,0.251814324952291,0.251814324952291,0.251814324952291,0.675113115091789,0.251814324952291,0.712885263834633,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.438156925416986,0.251814324952291,0.712885263834633,0.327358622437978,0.675113115091789,0.712885263834633,0.712885263834633,0.251814324952291,0.438156925416986,0.941778431324659,0.610360860104057,0.610360860104057,0.610360860104057,0.251814324952291,0.327358622437978,0.438156925416986,0.438156925416986,0.251814324952291,0.251814324952291
"Morone saxatilis",0.151088594971375,0.481325095408808,0.251814324952291,0.251814324952291,0.798567540636581,0.251814324952291,0.251814324952291,1,0,0.798567540636581,0.251814324952291,0.481325095408808,0.712885263834633,0,0.798567540636581,0.798567540636581,0.798567540636581,0.251814324952291,0.712885263834633,0.251814324952291,0.798567540636581,0.481325095408808,0.481325095408808,0.481325095408808,0.481325095408808,0.251814324952291,0.784832213821002,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.847458260342703,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.610360860104057,0.251814324952291,0.251814324952291,0.251814324952291,0.798567540636581,0.798567540636581
"Carex aquatilis",0,0,0,0,0,0,0,0,1,0,0,0,0,0.582890206472898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fundulus heteroclitus",0.151088594971375,0.481325095408808,0.251814324952291,0.251814324952291,0.83583606072952,0.251814324952291,0.251814324952291,0.798567540636581,0,1,0.251814324952291,0.481325095408808,0.712885263834633,0,0.879489814321309,0.798567540636581,0.798567540636581,0.251814324952291,0.712885263834633,0.251814324952291,0.823748973131811,0.481325095408808,0.481325095408808,0.481325095408808,0.481325095408808,0.251814324952291,0.784832213821002,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.798567540636581,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.251814324952291,0.610360860104057,0.251814324952291,0.251814324952291,0.251814324952291,0.83583606072952,0.83583606072952
