"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co","Population.Number","Comparison.a.or.b.","Point.on.gradient","Treatment","Experiment..","Population.Home.Env","Comparison.population","Value","Standard.Deviation","Sample.Size","Notes","alt_trait","yi","vi"
"772","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Plankton","1",1,"a",3.383112283,0.247223258,12,"","body_shape",1.93650478651364,0.244792724753963
"771","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Worm","1",2,"b",3.425773677,0.316779673,12,"","body_shape",1.13112965238386,0.193321964385459
"776","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Plankton","1",1,"a",0.794258628,0.07823094,12,"","body_shape",-4.1957463133664,0.533422648460994
"775","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Worm","1",2,"b",0.757545133,0.076599631,12,"","body_shape",-3.56178407701429,0.43096470440151
"780","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","head depth","Co",1,"a","","Plankton","1",1,"a",8.677205116,0.222682968,12,"","body_shape",1.85056766609397,0.238012514308177
"779","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","head depth","Co",1,"a","","Worm","1",2,"b",8.750877047,0.248088267,12,"","body_shape",1.01082165181853,0.187953341912191
"784","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","snout length","Co",1,"a","","Plankton","1",1,"a",3.326059437,0.147809897,12,"","body_shape",-3.49874761727951,0.421692393529564
"783","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","snout length","Co",1,"a","","Worm","1",2,"b",3.240962083,0.167498564,12,"","body_shape",-2.68827230615139,0.317225166500427
"809","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","developmental rate","Co",2,"b","1025","10","1",1,"a",3.528172285,0.083082419,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","developmental_rate",-0.702810004857572,0.212348547573198
"810","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","developmental rate","Co",2,"b","1025","16","1",2,"b",3.17439105,0.152739044,10,"temperatures aren't true temperatures, just meant to show ~6 C difference mentioned in study (for scaling response across temperature analysis)","developmental_rate",-0.11911907153948,0.200354733830111
