"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","alt_trait","mean_ES","var_ES","samp.size_ES","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"1","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co","growth_rate",1.36187351872304,0.0692662910953891,11,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"2","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co","reproductive_rate",0.152762289958263,0.0041850005199475,160,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"3","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co","body_shape",1.53381721858543,0.109528672250369,12,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"4","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co","body_shape",-3.87876519418159,0.241096838150546,12,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"5","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","head depth","Co","body_shape",1.43069465862302,0.106491464036535,12,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"6","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","snout length","Co","body_shape",-3.09350996767065,0.184729390396525,12,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"7","Hutchings et al. 2007","Genetic variation in life-history reaction norms in a marine fish","growth rate","Co","growth_rate",0.144941806672594,0.00167171080779612,300,"Genetic variation in life-history reaction norms in a marine fish",2007,"Actinopterygii","Gadus morhua","temperature",1,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"8","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","developmental rate","Co","developmental_rate",-0.410964538839769,0.103175820362628,10,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"9","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","growth rate","Co","growth_rate",0.167921092152377,0.100371496397504,10,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"10","Jasienski 2009","COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE","mass","Co","body_size",-0.775384577583105,0.10759126070305,10,"COGRADIENT PLASTICITY OF GROWTH IN MONTANE AND LOWLAND LARVAE OF RANA TEMPORARIA L. AT TWO LEVELS OF TEMPERATURE",2009,"Amphibia","Rana temporaria","elevation",3,"physiological","co","graph",2,2,"CG",NA,925,"","",""
"11","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co","developmental_rate",-1.96957581580934,0.137628235698598,12,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","co","graph",NA,NA,"CG",NA,NA,"","",""
"12","Kivela et al. 2012","Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth","development time","co","developmental_rate",-1.96957581580934,0.137628235698598,12,"Genetic and phenotypic variation in juvenile development in relation to temperature and developmental pathway in a geometrid moth",2012,"Insecta","Cabera exanthemata","latitude",1,"physiological","counter","graph",NA,NA,"CG",NA,NA,"","",""
"13","Kong et al. 2019","Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism","developmental rate","co","developmental_rate",-1.21862981395354,0.255106107091233,55,"Linking thermal adaptation and life-history theory explains latitudinal patterns of voltinism",2019,"Insecta","Warramaba whitei","latitude",1,"physiological","co","table",2,2,"CG",NA,NA,"unclear distance, data was collected from supplementary r script (war16)","",""
