"","Paper..Authors...Year.","Paper.Name","Trait","Counter.or.Co.x","Population.Number","Comparison.a.or.b.","Point.on.gradient","Treatment","Experiment..","Population.Home.Env","Comparison.population","Value","Standard.Deviation","Sample.Size","Notes","alt_trait","yi","vi","Title","Year","Class","Species","Gradient","number.of.traits","Trait.type","Counter.or.Co.y","Data.collection","Number.of.populations","Number.of.Treatments","Experiment.type..CG.or.RT.","distance.between.analyzed..a.and.b..populations..km.","elevation.between.analyzed..a.and.b..populations..m.","notes","X.1","X.2"
"1","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","high","1",2,"b",0.032119553,0.00443831,7,"","growth_rate",1.83291886102301,0.405699698253353,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"2","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","low","1",1,"a",0.017743086,0.004781202,7,"","growth_rate",1.85848927387073,0.409070799324735,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"3","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","high","2",2,"b",0.033979797,0.005541106,15,"","growth_rate",1.06174347368022,0.152121653398376,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"4","Arendt and Reznick 2005","Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?","growth rate","Co",1,"a","","low","2",1,"a",0.020426419,0.004569318,15,"","growth_rate",0.694342486398812,0.141368524806975,"Evolution of juvenile growth rates in female guppies (Poecilia reticulata): predator regime or resource level?",2005,"Actinopterygii","Poecilia reticulata","resource availability",1,"physiological","co","graph",4,2,"RT",NA,NA,"","",""
"5","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","average","1",NA,"",0.950554975,0.573225317,160,"","reproductive_rate",0.253122187632272,0.0126001106904246,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"6","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","early ","1",2,"b",0.707397902,0.774619762,160,"","reproductive_rate",0.203789750965662,0.0125648910353104,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"7","Bradford and Roff 1995","Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius","diapause percentage","Co",1,"a","","late","1",1,"a",1.221130059,0.157300189,160,"","reproductive_rate",0.00137493127525449,0.0125000029538063,"Genetic and phenotypic sources of life history variation along a cline in voltinism in the cricket Allonemobius socius",1995,"Insecta","Allonemobius socius","latitude",1,"life history","co","graph",2,2,"CG",NA,NA,"","",""
"8","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Plankton","1",1,"a",3.383112283,0.247223258,12,"","body_shape",1.93650478651364,0.244792724753963,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"9","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gape width","Co",1,"a","","Worm","1",2,"b",3.425773677,0.316779673,12,"","body_shape",1.13112965238386,0.193321964385459,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"10","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Plankton","1",1,"a",0.794258628,0.07823094,12,"","body_shape",-4.1957463133664,0.533422648460994,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
"11","Day et al. 1994","A COMPARISON OF TWO STICKLEBACKS","gill raker length","Co",1,"a","","Worm","1",2,"b",0.757545133,0.076599631,12,"","body_shape",-3.56178407701429,0.43096470440151,"A COMPARISON OF TWO STICKLEBACKS",1994,"Actinopterygii","Gasterosteus aculeatus","prey type",4,"physiological","co","graph",2,2,"CG",NA,NA,"","",""
