"","Poecilia reticulata","Allonemobius socius","Gasterosteus aculeatus","Gadus morhua","Rana temporaria","Cabera exanthemata","Mauremys mutica","Rana arvalis","Colaphellus bowringi","Littorina obtusata","Ischnura elegans"
"Poecilia reticulata",1,0,0.905484810058759,0.850475969352217,0.412566305299066,0,0.412566305299066,0.412566305299066,0,0,0
"Allonemobius socius",0,1,0,0,0,0.717865371220375,0,0,0.717865371220375,0.24753978317944,0.635352110160561
"Gasterosteus aculeatus",0.905484810058759,0,1,0.850475969352217,0.412566305299066,0,0.412566305299066,0.412566305299066,0,0,0
"Gadus morhua",0.850475969352217,0,0.850475969352217,1,0.412566305299066,0,0.412566305299066,0.412566305299066,0,0,0
"Rana temporaria",0.412566305299066,0,0.412566305299066,0.412566305299066,1,0,0.536336196888786,0.954992766694647,0,0,0
"Cabera exanthemata",0,0.717865371220375,0,0,0,1,0,0,0.788591023557357,0.24753978317944,0.635352110160561
"Mauremys mutica",0.412566305299066,0,0.412566305299066,0.412566305299066,0.536336196888786,0,1,0.536336196888786,0,0,0
"Rana arvalis",0.412566305299066,0,0.412566305299066,0.412566305299066,0.954992766694647,0,0.536336196888786,1,0,0,0
"Colaphellus bowringi",0,0.717865371220375,0,0,0,0.788591023557357,0,0,1,0.24753978317944,0.635352110160561
"Littorina obtusata",0,0.24753978317944,0,0,0,0.24753978317944,0,0,0.24753978317944,1,0.24753978317944
"Ischnura elegans",0,0.635352110160561,0,0,0,0.635352110160561,0,0,0.635352110160561,0.24753978317944,1
