,Title,Year,Class,Species,Gradient,number of traits,Trait type,Counter or Co,Data collection,Number of populations,Number of Treatments,Experiment type (CG or RT),distance between analyzed (a and b) populations (km),elevation between analyzed (a and b) populations (m),notes,,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",2001,Actinopterygii,Scophthalmus maximus,latitude,2,physiological,counter,both,3,3,,1554,,,,
Trussel and Etter 2001,Integrating Genetic and Environmental Forces that Shape the Evolution of Geographic Variation in a Marine Snail,2001,Gastropoda,Littorina obtusata,latitude,2,physiological,both,graph,2,2,,254,,,,
Trussel 2002,Evidence of countergradient variation in the growth of an intertidal snail in response to water velocity,2002,Gastropoda,Littorina obtusata,wave action,4,physiological,counter,graph,2,2,,,,,,
Li et al. 2018a,Latitudinal and temperature-dependent variation in embryonic development rate and offspring performance in a freshwater turtle,2018,Reptilia,Pelodiscus sinensis,latitude,1,physiological,counter,graph,3,2,,1563,,"1,36.783_2,22.7167",,
Yamahira and Conover 2002,INTRA‐ VS. INTERSPECIFIC LATITUDINAL VARIATION IN GROWTH: ADAPTATION TO TEMPERATURE OR SEASONALITY?,2002,Actinopterygii,Menidia peninsulae,temperature,2,physiological,counter,graph,4,5,,,,,,
Lindgren and Laurila 2009,Phsyiological variation along a geographical gradient: is growth rate correlated with routine metabolic rate in Rana temporaria tadpoles,2009,Amphibia,Rana temporaria,latitude,1,physiological,counter,graph,7,1,,1402,,,,
Kokita 2003,"Potential latitudinal variation in egg size and number of a geographically widespread reef fish, revealed by common-environment experiments",2003,Actinopterygii,Pomacentrus coelestis,temperature,2,physiological,counter,graph,3,3,,943,,,,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,2003,Amphibia,Rana temporaria,latitude,1,physiological,counter,graph,5,3,,1489,,Photosynthetic photon flux density (PPFD),,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,2004,Actinopterygii,Pomacentrus coelestis,latitude,1,physiological,counter,graph,3,3,,943,,,,
Nylin et al. 1996,Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests,1996,Insecta,Lasiommata petropolitana,latitude,2,physiological,counter,table,2,4,,223,,,,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,2017,Insecta,Colaphellus bowringi,latitude,4,developmental,co,table,6,6,,2332,,split between males and females,,
Liess et al. 2013,Hot tadpoles from cold environments need morenutrients–life history and stoichiometry reflectslatitudinal adaptation,2013,Amphibia,Rana temporaria,latitude,3,physiological,counter,graph,5,2,,3363,,,,
Shama et al. 2011,Latitudinal and voltinism compensation shape thermal reaction norms for growth rate,2011,Insecta,Ischnura elegans,latitude,1,physiological,counter,graph,2,3,,535,,,,
Pardo and Johnson 2005,"Explaining variation in life-history traits: growth rate, size, and fecundity in a marine snail across an environmental gradient lacking predators",2005,Gastropoda,Littorina saxatilis,wave action,1,physiological,counter,graph,2,2,RT,,,,,
Lindgren and Laurila 2005,Proximate causes of adaptive growth rates: growth efficiency variation among latitudinal populations of Rana temporaria,2005,Amphibia,Rana temporaria,latitude,2,physiological,counter,graph,8,2,CG,1445,,used body size corrected,,
Oufiero and Angilletta 2006; exp 1,CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS),2006,Reptilia,Sceloporus undulatus,latitude,2,physiological,counter,graph,2,2,CG,932,,,,
Oufiero and Angilletta 2006; exp 2,CONVERGENT EVOLUTION OF EMBRYONIC GROWTH AND DEVELOPMENT IN THE EASTERN FENCE LIZARD (SCELOPORUS UNDULATUS),2006,Reptilia,Sceloporus undulatus,latitude,2,physiological,counter,graph,3,2,CG,703,,,,
Du et al. 2010,Physiological basis of geographic variation in rates of embryonic development within a widespread lizard species,2010,Reptilia,Sceloporus undulatus,latitude,1,development,counter,Graph,3,2,CG,1282,,,,
Marcil et al. 2006,Genetic and environmental components of phenotypic variation in body shape among populations of Atlantic cod (Gadus morhua L.),2006,Actinopterygii,Gadus morhua,temperature,1,physiological,counter,graph,3,2,CG,,,,,
Finstad and Forseth 2006,"Adaptation to ice-cover conditions in Atlantic salmon, Salmo salar L.",2006,Actinopterygii,Salmo salar,latitude,2,physiological,counter,graph,6,2,CG,1229,,,,
Sanford et al. 2006,"Larval tolerance, gene flow, and the northern geographic range limit of fiddler crabs",2006,Malacostraca,Minuca pugnax,latitude,1,physiological,counter,graph,2,4,CG,65,,,,
Yamahira et al. 2007,Inter‐and intrapopulation variation in thermal reaction norms for growth rate: evolution of latitudinal compensation in ectotherms with a genetic constraint,2007,Actinopterygii,Oryzias latipes,latitude,1,physiological,counter,graph,3,6,CG,576,,,,
Laurila et al. 2008,Antipredator defenses along a latitudinal gradient in Rana temporaria,2008,Amphibia,Rana temporaria,latitude,2,physiological,counter,graph,7,2,CG,1448,,,,
"Sniegula et al 2012, puella",Differentiation in developmental rate across geographic regions: a photoperiod driven latitude compensating mechanism?,2012,Insecta,Coenagrion puella,latitude,1,physiological,counter,graph,5,2,,896,,,,
"Sniegula et al 2012, pulchellum",Differentiation in developmental rate across geographic regions: a photoperiod driven latitude compensating mechanism?,2012,Insecta,Coenagrion pullchellum,latitude,1,physiological,counter,graph,5,2,,896,,,,
Sommer and Pearman 2003,Quantitative Genetic Analysis of Larval Life History Traits in Two Alpine Populations of Rana temporaria,2003,Amphibia,Rana temporaria,elevation,1,physiological,counter,graph,2,2,CG,,1080,,,
Conover and Present 1990,Countergradient variation in growth rate: compensation for length of the growing season among Atlantic silversides from different latitudes,1997,Actinopterygii,Menidia menidia,latitude,1,physiological,counter,graph,3,4,CG,,,,,
Nicieza et al. 1994,Variation in digestive performance between geographically disjunct populations of Atlantic salmon: countergradient in passage time and digestion rate,1994,Actinopterygii,Salmo salar,latitude,1,physiological,counter,graph,2,3,CG,1667,,,,
Schultz et al. 1996,Countergradient Variation in Growth Among Newly Hatched Fundulus Heteroclitus: Geographic Differences Revealed by Common-Environment Experiments,1996,Actinopterygii,Fundulus heteroclitus,latitude,3,physiological,counter,graph,5,3,CG,1289,,Exp 1 and 2 are generations 1 and 2,,
Dittman 1997,Latitudinal compensation in oyster ciliary activity,1997,Bivalvia,Crassostrea virginica,latitude,1,physiological,counter,graph,2,4,CG,218,,,,
Brown et al. 1998,Variation in Larval Growth Rate among Striped Bass Stocks from Different Latitudes,1998,Actinopterygii,Morone saxatilis,latitude,2,physiological,counter,graph,4,2,CG,,,,,
Arnett and Gotelli 1999,"GEOGRAPHIC VARIATION IN LIFE‐HISTORY TRAITS OF THE ANT LION, MYRMELEON IMMACULATUS: EVOLUTIONARY IMPLICATIONS OF BERGMANN'S RULE",1999,Insecta,Myrmeleon immaculatus,latitude,3,physiological,counter,graph,2,2,CG,783,,"used only high food temperatures, made measurements for latitude equidistant between sampling populations",,
Billerbeck et al. 2000,Adaptive variation in energy acquisition and allocation among latitudinal populations of the Atlantic silverside,2000,Actinopterygii,Menidia menidia,latitude,4,physiological,counter,graph,2,2,CG,,,only measured one trait because couldn't parse sample size on other 3,,
Jonassen et al. 2000,Geographic variation in growth and food conversion efficiency of juvenile Atlantic halibut related to latitude,2000,Actinopterygii,Hippoglossus hippoglossus,latitude,2,physiological,counter,graph,3,4,CG,2334,,,,
