"","Scophthalmus maximus","Littorina obtusata","Pelodiscus sinensis","Menidia peninsulae","Rana temporaria","Pomacentrus coelestis","Lasiommata petropolitana","Colaphellus bowringi","Ischnura elegans","Littorina saxatilis","Psammodromus algirus","Sceloporus undulatus","Nematostella vectensis","Chiasmia clathrata","Gadus morhua","Salmo salar","Minuca pugnax","Oryzias latipes","Zootoca vivipara","Menidia menidia","Fundulus heteroclitus","Crassostrea virginica","Morone saxatilis","Myrmeleon immaculatus","Hippoglossus hippoglossus","Drosophila melanogaster","Carex aquatilis","Leptuca pugilator","Minuca rapax","Aedes albopictus","Aquarius remigis","Leptinotarsa decemlineata","Paropsis atomaria","Oncorhynchus tshawytscha","Gasterosteus aculeatus","Poecilia reticulata","Allonemobius socius","Eilema depressum","Anthocharis cardamines","Rana arvalis","Melanoplus femurrubrum","Coenagrion puella","Hemideina maori","Cornu aspersum","Ambrosia artemisiifolia","Cabera exanthemata"
"Scophthalmus maximus",1,0.247513049855961,0.473103515296108,0.775533471575155,0.473103515296108,0.775533471575155,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.473103515296108,0.148507829913576,0.247513049855961,0.761389868726243,0.687135953769455,0.247513049855961,0.775533471575155,0.473103515296108,0.775533471575155,0.775533471575155,0.247513049855961,0.775533471575155,0.247513049855961,0.86852529696815,0.247513049855961,0,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.687135953769455,0.775533471575155,0.775533471575155,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0,0.247513049855961
"Littorina obtusata",0.247513049855961,1,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,0.973742093841368,0.247513049855961,0.247513049855961,0.148507829913576,0.321766964812749,0.247513049855961,0.247513049855961,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.38117009677818,0.247513049855961,0.321766964812749,0.247513049855961,0.321766964812749,0,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,0.572933778738012,0,0.321766964812749
"Pelodiscus sinensis",0.473103515296108,0.247513049855961,1,0.473103515296108,0.510230472774502,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.543232212755297,0.543232212755297,0.148507829913576,0.247513049855961,0.473103515296108,0.473103515296108,0.247513049855961,0.473103515296108,0.543232212755297,0.473103515296108,0.473103515296108,0.247513049855961,0.473103515296108,0.247513049855961,0.473103515296108,0.247513049855961,0,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.473103515296108,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.510230472774502,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0,0.247513049855961
"Menidia peninsulae",0.775533471575155,0.247513049855961,0.473103515296108,1,0.473103515296108,0.801360920255777,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.473103515296108,0.148507829913576,0.247513049855961,0.761389868726243,0.687135953769455,0.247513049855961,0.813736572748575,0.473103515296108,0.973742093841368,0.813736572748575,0.247513049855961,0.775533471575155,0.247513049855961,0.775533471575155,0.247513049855961,0,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.687135953769455,0.775533471575155,0.813736572748575,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0,0.247513049855961
"Rana temporaria",0.473103515296108,0.247513049855961,0.510230472774502,0.473103515296108,1,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.510230472774502,0.510230472774502,0.148507829913576,0.247513049855961,0.473103515296108,0.473103515296108,0.247513049855961,0.473103515296108,0.510230472774502,0.473103515296108,0.473103515296108,0.247513049855961,0.473103515296108,0.247513049855961,0.473103515296108,0.247513049855961,0,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.473103515296108,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.993543137829844,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0,0.247513049855961
"Pomacentrus coelestis",0.775533471575155,0.247513049855961,0.473103515296108,0.801360920255777,0.473103515296108,1,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.473103515296108,0.148507829913576,0.247513049855961,0.761389868726243,0.687135953769455,0.247513049855961,0.801360920255777,0.473103515296108,0.801360920255777,0.801360920255777,0.247513049855961,0.775533471575155,0.247513049855961,0.775533471575155,0.247513049855961,0,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.687135953769455,0.775533471575155,0.801360920255777,0.247513049855961,0.247513049855961,0.247513049855961,0.473103515296108,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0,0.247513049855961
"Lasiommata petropolitana",0.247513049855961,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,1,0.687135953769455,0.624686507344259,0.321766964812749,0.247513049855961,0.247513049855961,0.148507829913576,0.896370515076946,0.247513049855961,0.247513049855961,0.430672706749372,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.247513049855961,0.687135953769455,0.247513049855961,0.687135953769455,0,0.430672706749372,0.430672706749372,0.687135953769455,0.647533865792501,0.687135953769455,0.687135953769455,0.247513049855961,0.247513049855961,0.247513049855961,0.647533865792501,0.896370515076946,0.913842024478543,0.247513049855961,0.647533865792501,0.624686507344259,0.647533865792501,0.321766964812749,0,0.896370515076946
"Colaphellus bowringi",0.247513049855961,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.687135953769455,1,0.624686507344259,0.321766964812749,0.247513049855961,0.247513049855961,0.148507829913576,0.687135953769455,0.247513049855961,0.247513049855961,0.430672706749372,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.247513049855961,0.687135953769455,0.247513049855961,0.687135953769455,0,0.430672706749372,0.430672706749372,0.687135953769455,0.647533865792501,0.938383086719087,0.938383086719087,0.247513049855961,0.247513049855961,0.247513049855961,0.647533865792501,0.687135953769455,0.687135953769455,0.247513049855961,0.647533865792501,0.624686507344259,0.647533865792501,0.321766964812749,0,0.687135953769455
"Ischnura elegans",0.247513049855961,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.624686507344259,0.624686507344259,1,0.321766964812749,0.247513049855961,0.247513049855961,0.148507829913577,0.624686507344259,0.247513049855961,0.247513049855961,0.430672706749372,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.247513049855961,0.624686507344259,0.247513049855961,0.624686507344259,0,0.430672706749372,0.430672706749372,0.624686507344259,0.624686507344259,0.624686507344259,0.624686507344259,0.247513049855961,0.247513049855961,0.247513049855961,0.624686507344259,0.624686507344259,0.624686507344259,0.247513049855961,0.624686507344259,0.92232818618789,0.624686507344259,0.321766964812749,0,0.624686507344259
"Littorina saxatilis",0.247513049855961,0.973742093841368,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,1,0.247513049855961,0.247513049855961,0.148507829913576,0.321766964812749,0.247513049855961,0.247513049855961,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.247513049855961,0.38117009677818,0.247513049855961,0.321766964812749,0.247513049855961,0.321766964812749,0,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.321766964812749,0.247513049855961,0.247513049855961,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,0.247513049855961,0.321766964812749,0.321766964812749,0.321766964812749,0.572933778738012,0,0.321766964812749
